rank,name,year,rating,genre,watched
237,Rebecca,1940,8.1,"Drama,Film-Noir,Mystery",False
238,Cool Hand Luke,1967,8.1,"Crime,Drama",False
239,The Handmaiden,2016,8.1,"Drama,Romance,Thriller",False
240,The 400 Blows,1959,8.1,"Crime,Drama",False
241,The Sound of Music,1965,8.1,"Biography,Drama,Family",False
242,It Happened One Night,1934,8.1,"Comedy,Romance",False
243,Persona,1966,8.1,"Drama,Thriller",False
244,Life of Brian,1979,8.0,Comedy,False
245,The Iron Giant,1999,8.1,"Animation,Action,Adventure",False
246,The Help,2011,8.1,Drama,False
247,Dersu Uzala,1975,8.2,"Adventure,Biography,Drama",False
248,Aladdin,1992,8.0,"Animation,Adventure,Comedy",False
249,Gandhi,1982,8.0,"Biography,Drama,History",False
250,Dances with Wolves,1990,8.0,"Adventure,Drama,Western",False
